Category,Year,Abundance,Spawners,Spawners,Abundance,Recruitment,Catch,Catch,Fmort,Fmort
Primary,,N,Y,N,N,Y,Y,N,Y,N
Description,,Total Biomass,Spawning Output(Eggs),Female Mature Relative Spawning Biomass SSB/SSB0,Age 5+ biomass,Abundance at Age 0,Modeled Total Catch,Modeled Total Catch,1-SPR,Relative Exploitation Rate (Catch/Age 5+ biomass)
Unit,,Metric Tons,Millions of eggs,Rate,Metric Tons,Number x 1000,Metric Tons,Number x 1000,Rate,Rate
,1892,76700.4,8008.63,1,75272.7,3676.85,5.79,2.93,0.002,0
,1893,76694.2,8007.8,1,75266.9,3674.38,5.79,2.93,0.002,0
,1894,76686.7,8006.96,1,75261.2,3671.75,5.79,2.93,0.002,0
,1895,76676.4,8006.13,1,75255.6,3668.98,1.49,0.76,0.001,0
,1896,76666.6,8005.91,1,75254.5,3666.06,0.36,0.18,0,0
,1897,76653.3,8005.86,1,75242.2,3662.98,0.37,0.19,0,0
,1898,76635.2,8005.78,1,75225.2,3659.72,0.21,0.11,0,0
,1899,76612.5,8005.67,1,75203.5,3656.26,0.35,0.18,0,0
,1900,76584.9,8005.38,1,75177.2,3652.58,0.49,0.25,0,0
,1901,76552.9,8004.76,1,75146.4,3648.68,0.64,0.32,0,0
,1902,76516.8,8003.58,0.999,75111.6,3644.53,0.78,0.39,0,0
,1903,76477,8001.64,0.999,75073.2,3640.11,0.92,0.47,0,0
,1904,76433.8,7998.86,0.999,75031.4,3635.4,1.07,0.54,0,0
,1905,76387.5,7995.3,0.998,74986.7,3630.4,1.21,0.61,0,0
,1906,76338.2,7991.12,0.998,74939.1,3625.11,1.35,0.68,0.001,0
,1907,76286.3,7986.45,0.997,74888.9,3619.51,1.49,0.75,0.001,0
,1908,76231.7,7981.39,0.997,74836.3,3613.61,1.64,0.83,0.001,0
,1909,76174.6,7976.02,0.996,74781.1,3607.39,1.78,0.9,0.001,0
,1910,76114.9,7970.37,0.995,74723.5,3600.82,1.92,0.97,0.001,0
,1911,76052.6,7964.47,0.994,74663.5,3593.89,2.07,1.05,0.001,0
,1912,75987.6,7958.34,0.994,74600.9,3586.54,2.21,1.12,0.001,0
,1913,75919.9,7951.97,0.993,74535.7,3578.74,2.35,1.19,0.001,0
,1914,75849.3,7945.37,0.992,74467.7,3570.5,2.5,1.26,0.001,0
,1915,75775.7,7938.52,0.991,74396.8,3561.83,2.64,1.33,0.001,0
,1916,75698.8,7931.41,0.99,74322.9,3552.72,39.63,24.96,0.013,0.001
,1917,75580.2,7921.02,0.989,74207.5,3543.01,61.62,39.09,0.02,0.001
,1918,75434.9,7908.37,0.987,74065.5,3532.74,64.22,40.66,0.021,0.001
,1919,75283,7894.87,0.986,73917.1,3521.91,41.71,25.86,0.014,0.001
,1920,75151,7882.47,0.984,73788.8,3510.58,44.01,27.4,0.015,0.001
,1921,75013.6,7869.39,0.983,73655.2,3498.63,38.49,24.06,0.013,0.001
,1922,74878.8,7856.35,0.981,73524.5,3486.11,35.76,22.35,0.012,0
,1923,74743.5,7843.15,0.979,73393.5,3473.02,42.32,26.55,0.014,0.001
,1924,74597.9,7829.12,0.978,73252.5,3459.37,44.18,28.53,0.015,0.001
,1925,74446.5,7814.81,0.976,73105.8,3445.23,50.73,33.24,0.017,0.001
,1926,74283.9,7799.79,0.974,72948.1,3430.6,66.55,42.59,0.022,0.001
,1927,74100.1,7782.91,0.972,72769.6,3415.56,60.24,37.69,0.02,0.001
,1928,73918.2,7765.84,0.97,72593,3400.25,62.82,39.33,0.021,0.001
,1929,73729,7747.82,0.967,72409.4,3384.79,73.85,44.28,0.026,0.001
,1930,73523.7,7727.59,0.965,72209.9,3369.19,78.69,48.83,0.027,0.001
,1931,73308.6,7706.8,0.962,72000.7,3353.49,88.29,54.58,0.031,0.001
,1932,73078.5,7684.55,0.96,71776.5,3337.65,65.43,42.88,0.023,0.001
,1933,72866.6,7664.37,0.957,71570.6,3321.47,61.84,39.25,0.022,0.001
,1934,72653.4,7643.46,0.954,71363.5,3304.38,62.11,41.08,0.023,0.001
,1935,72434.7,7622.34,0.952,71150.9,3285.74,73.8,49.16,0.027,0.001
,1936,72198.3,7599.84,0.949,70920.9,3264.66,67.37,46.27,0.026,0.001
,1937,71962.8,7577.27,0.946,70692,3240.74,75.48,50.66,0.029,0.001
,1938,71712.8,7553.02,0.943,70449.1,3214.16,74.49,50.13,0.029,0.001
,1939,71457.4,7528.28,0.94,70201.6,3186.07,81.02,51.81,0.03,0.001
,1940,71188.5,7502.17,0.937,69941.4,3157.26,175.63,96.48,0.059,0.003
,1941,70817.4,7463.96,0.932,69580.2,3130.42,218.94,114.77,0.071,0.003
,1942,70397.8,7419.77,0.926,69171,3106.37,382.75,178.3,0.114,0.006
,1943,69811.6,7354.19,0.918,68595.3,3084.62,1254.46,562.31,0.31,0.018
,1944,68355.4,7182.44,0.897,67149.5,3062.09,1887.07,846.5,0.422,0.028
,1945,66296.3,6938.86,0.866,65100.1,3044.55,3813.72,1713.54,0.647,0.059
,1946,62360.8,6470.4,0.808,61173.6,3021.95,2377.54,1093.95,0.526,0.039
,1947,59987.5,6180.37,0.772,58808.8,3011.27,1345.83,614.1,0.368,0.023
,1948,58735.1,6015.99,0.751,57563.8,3012.97,1272.57,599.55,0.363,0.022
,1949,57607.4,5870.43,0.733,56443.1,3023.09,1235.85,584.23,0.361,0.022
,1950,56563.2,5736.83,0.716,55404.6,3043.2,1237.31,590.54,0.366,0.022
,1951,55561.9,5611.1,0.701,54404.6,3072.47,1223.76,601.53,0.373,0.022
,1952,54614.8,5495.84,0.686,53454.7,3112.65,1158.86,563.28,0.36,0.022
,1953,53776.9,5392.39,0.673,52610,3165.49,956.31,467.34,0.315,0.018
,1954,53188.1,5316.92,0.664,52010.5,3237.33,1172.83,571.71,0.369,0.023
,1955,52426.5,5221.22,0.652,51234.6,3333.99,1167.91,575.41,0.373,0.023
,1956,51723.8,5130.11,0.641,50512.3,3475.14,1541.02,748.99,0.453,0.031
,1957,50708.6,4999.72,0.624,49470.5,3684.83,1567.41,761.37,0.464,0.032
,1958,49749.5,4870.01,0.608,48473.9,4011.11,1300.01,680.52,0.424,0.027
,1959,49151.4,4780.04,0.597,47823.5,4521.91,1347.41,684.48,0.434,0.028
,1960,48607.5,4687.53,0.585,47208,4410.93,1456.77,720.19,0.456,0.031
,1961,48098.2,4586.85,0.573,46592.5,4773.41,1363.86,664.07,0.438,0.029
,1962,47843.9,4502.35,0.562,46216.7,4477.21,1643.56,804.79,0.497,0.036
,1963,47483.2,4395.43,0.549,45757.4,3831.55,1114.54,573.33,0.39,0.024
,1964,47826.5,4360.06,0.544,46106.2,3405.22,1347.75,676,0.44,0.029
,1965,48064.2,4309.98,0.538,46336.3,3332.89,1484.61,771.14,0.471,0.032
,1966,48238.3,4262.08,0.532,46661.4,3689.44,3344.32,1653.07,0.714,0.072
,1967,46583.6,4024.63,0.503,45178,4619.93,1509.3,811.72,0.487,0.033
,1968,46795,4011.48,0.501,45445.9,6025.32,2423.54,1285.16,0.632,0.053
,1969,46069.1,3926.35,0.49,44663.4,3752.8,1229.95,699.9,0.427,0.028
,1970,46615.5,3985.95,0.498,45002.7,2645.77,1555.2,877.34,0.492,0.035
,1971,46902.2,4029.1,0.503,45051.5,2644.6,2015.93,1103.75,0.567,0.045
,1972,46736.7,4029.31,0.503,44891.5,3888.18,1923.69,1106.15,0.557,0.043
,1973,46594.5,4039.26,0.504,45319.7,4875.04,2781.47,1547.39,0.674,0.061
,1974,45488.5,3946.97,0.493,44391.5,3426.6,2316.58,1325.48,0.628,0.052
,1975,44823.1,3892.3,0.486,43554.4,3586.57,2044.69,1182.14,0.594,0.047
,1976,44419.8,3861.05,0.482,42837,4614.06,1762.76,1080.49,0.555,0.041
,1977,44250.4,3867.03,0.483,42632.9,2857.79,1855.26,1121.84,0.571,0.044
,1978,44005.3,3868.15,0.483,42624,4077.52,4346.23,2346.87,0.813,0.102
,1979,41251.4,3598.89,0.449,39790,3780.88,2920.97,1671.32,0.733,0.073
,1980,39931.1,3463.34,0.432,38429.1,1899.73,4574.38,2445.7,0.847,0.119
,1981,37016.1,3129.26,0.391,35744.7,3801.32,3580.22,2020.6,0.817,0.1
,1982,35079.7,2902.16,0.362,33666,3052.73,5702.23,3184.25,0.917,0.169
,1983,31003.8,2460.92,0.307,29799.9,2345.87,5296.95,2848.17,0.919,0.178
,1984,27379.9,2056.54,0.257,26368.9,3162.47,2810.74,1629.97,0.835,0.107
,1985,26240.3,1919.91,0.24,24951.3,2940.76,3052.85,1819.41,0.862,0.122
,1986,24842.5,1778.05,0.222,23760.3,2469.63,2697.99,1677.03,0.85,0.114
,1987,23786.2,1679.97,0.21,22768.5,2811.61,3434.39,2067.97,0.9,0.151
,1988,21968.8,1515.45,0.189,20830.3,2687.68,3473.78,2059.19,0.912,0.167
,1989,20104.2,1342.44,0.168,19042.9,3246.18,3674.14,2179.32,0.932,0.193
,1990,18033.2,1148.63,0.143,17032,2773.01,3264.91,2075.31,0.936,0.192
,1991,16370,995.56,0.124,15302.5,2170.39,3915.34,2416.22,0.961,0.256
,1992,14096.1,776.97,0.097,13014.5,2439.11,3301.56,2120.17,0.962,0.254
,1993,12431.1,613.96,0.077,11324.5,1450.25,2899.3,2014.76,0.966,0.256
,1994,11155.8,492.62,0.062,10208.1,1784.19,1429.43,1078.75,0.898,0.14
,1995,11284.7,486.75,0.061,10464.8,2039.39,1331.69,1068.94,0.88,0.127
,1996,11448.2,501.89,0.063,10670.6,2047.53,1591.04,1120.27,0.905,0.149
,1997,11292.7,501.01,0.063,10669.3,1396.86,1486.5,1095.09,0.894,0.139
,1998,11175.7,515.01,0.064,10462.2,1422.37,1497.75,1019.41,0.894,0.143
,1999,10983,524.95,0.066,10244.4,1210.99,900.9,638.02,0.782,0.088
,2000,11315.9,578.21,0.072,10648.9,1462.74,204.75,220.85,0.294,0.019
,2001,12274.5,690.08,0.086,11737.9,2114.36,122.42,119.41,0.182,0.01
,2002,13257.2,813.28,0.102,12722.2,1942.67,97.05,71.88,0.152,0.008
,2003,14246.1,940.18,0.117,13686.1,3066.9,68.83,60.68,0.106,0.005
,2004,15237.3,1071.19,0.134,14557.9,2145.91,47.17,43.48,0.07,0.003
,2005,16273.7,1203.67,0.15,15448.4,1201.48,59.78,45.19,0.085,0.004
,2006,17349.2,1332.78,0.166,16475.4,1748.15,58.98,55.45,0.079,0.004
,2007,18444.7,1458.49,0.182,17466.4,3152.72,52.29,52.65,0.062,0.003
,2008,19502.7,1577.73,0.197,18804.3,1140.65,39.69,34.71,0.046,0.002
,2009,20592,1689.19,0.211,19976.5,1787.84,47.31,50.07,0.054,0.002
,2010,21657.6,1795.73,0.224,20845.9,2450.24,44.73,47.42,0.051,0.002
,2011,22676.5,1902.95,0.238,21773.1,2086.84,59.08,64.25,0.063,0.003
,2012,23649.1,2015.33,0.252,23058.2,2315.07,47.07,51.1,0.049,0.002
,2013,24609.4,2136.39,0.267,23817.9,2880.7,45,47.44,0.046,0.002
,2014,25536.2,2262.34,0.282,24648,1538.69,54.09,60.59,0.056,0.002
,2015,26459.6,2386.05,0.298,25608.9,1506.96,113.69,107.62,0.106,0.004
,2016,27306.6,2497.02,0.312,26400,1943.69,75.61,80.08,0.073,0.003
,2017,28128.5,2603.03,0.325,27265.2,973.78,399.66,318.82,0.286,0.015
,2018,28543.5,2674.36,0.334,27950.5,926.82,598.69,429.85,0.386,0.021
,2019,28649.8,2715.07,0.339,28047.8,1812.21,581.78,423.25,0.383,0.021
,2020,28635.9,2749.66,0.343,28043.4,2234.81,513.68,384.93,0.364,0.018
,2021,28580,2784.46,0.348,28139,3199.87,558.68,393.44,0.39,0.02
,2022,28397.8,2808.02,0.351,27841.7,2825.14,700.36,465.93,0.469,0.025
,2023,28077.2,2808.87,0.351,27248.5,3149.97,NA,NA,NA,NA
