Category,Year,Abundance,Spawners,Spawners,Abundance,Recruitment,Catch,Catch,Fmort,Fmort,Fmort,Fmort
Primary,,N,Y,N,N,Y,Y,N,N,N,N,Y
Description,,Total Biomass,Spawning Output(Eggs),Female Mature Relative Spawning Biomass SSB/SSB0,Age 0+ biomass,Abundance at Age 0,Modeled Total Catch,Modeled Total Catch,abs F; with F=sum(full Fs),(1-SPR)/(1-SPR_30%),Relative Exploitation Rate (Catch/Age 0+ biomass),1 - SPR
Unit,,Metric Tons,Millions of eggs,Rate,Metric Tons,Number x 1000,Metric Tons,Number x 1000,Rate,Rate,Rate,Rate
,1896,30007.3,1198990000,1,30007.3,64798.5,0,0,0,0,0,0
,1897,30007.3,1198990000,1,30007.3,64798.5,0,0,0,0,0,0
,1898,30007.3,1198990000,1,30007.3,64798.5,0,0,0,0,0,0
,1899,30007.3,1198990000,1,30007.3,64798.5,0,0,0,0,0,0
,1900,30007.3,1198990000,1,30007.3,64798,0,0,0,0,0,0
,1901,30007.3,1198990000,1,30007.3,64798,0,0,0,0,0,0
,1902,30007.3,1198990000,1,30007.3,64797.9,0,0,0,0,0,0
,1903,30007.3,1198990000,1,30007.3,64797.8,0,0,0,0,0,0
,1904,30007.3,1198990000,1,30007.3,64797.7,0,0,0,0,0,0
,1905,30007.3,1198990000,1,30007.3,64797.5,0,0,0,0,0,0
,1906,30007.2,1198990000,1,30007.2,64797.4,0,0,0,0,0,0
,1907,30007.2,1198990000,1,30007.2,64797.2,0,0,0,0,0,0
,1908,30007.2,1198980000,1,30007.2,64797,0,0,0,0,0,0
,1909,30007.1,1198980000,1,30007.1,64796.8,0,0,0,0,0,0
,1910,30007.1,1198980000,1,30007.1,64796.6,0,0,0,0,0,0
,1911,30007,1198980000,1,30007,64796.3,0,0,0,0,0,0
,1912,30007,1198980000,1,30007,64796,0,0,0,0,0,0
,1913,30006.9,1198980000,1,30006.9,64795.6,0,0,0,0,0,0
,1914,30006.8,1198970000,1,30006.8,64795.2,0,0,0,0,0,0
,1915,30006.8,1198970000,1,30006.8,64794.8,0,0,0,0,0,0
,1916,30006.7,1198970000,1,30006.7,64794.3,222.3,1147.52,0.0189,0.082,0.007,0.057
,1917,29822.3,1189690000,0.992,29822.3,64739.6,302.8,1564.83,0.026,0.11,0.01,0.077
,1918,29592.4,1177800000,0.982,29592.4,64668.5,243.95,1262.32,0.0211,0.091,0.008,0.064
,1919,29438.7,1169420000,0.975,29438.7,64617.4,191.8,993.52,0.0167,0.073,0.007,0.051
,1920,29347.4,1164140000,0.971,29347.4,64584.5,132.6,687.39,0.0116,0.051,0.005,0.036
,1921,29317.3,1162030000,0.969,29317.3,64570.7,169,876.6,0.0148,0.065,0.006,0.045
,1922,29261.6,1158830000,0.967,29261.6,64550.1,244.4,1268.59,0.0215,0.093,0.008,0.065
,1923,29150.3,1152940000,0.962,29150.3,64512.5,245.9,1277.42,0.0218,0.094,0.008,0.065
,1924,29050.7,1147580000,0.957,29050.7,64477.8,306.6,1594.17,0.0273,0.116,0.011,0.081
,1925,28912.8,1140270000,0.951,28912.8,64430.3,304,1582.21,0.0272,0.115,0.011,0.081
,1926,28793.2,1133800000,0.946,28793.2,64387.5,300.1,1563.37,0.027,0.115,0.01,0.08
,1927,28691.3,1128190000,0.941,28691.3,64349.6,363.6,1896.06,0.033,0.137,0.013,0.096
,1928,28549.2,1120600000,0.935,28549.2,64298.2,356.7,1862.09,0.0326,0.136,0.012,0.095
,1929,28429.5,1114090000,0.929,28429.5,64253,406.2,2122.84,0.0373,0.154,0.014,0.108
,1930,28283.2,1106250000,0.923,28283.2,64198.3,379,1982.89,0.035,0.145,0.013,0.102
,1931,28176.6,1100360000,0.918,28176.6,64155.7,565.45,2962.41,0.0528,0.208,0.02,0.146
,1932,27928.4,1087440000,0.907,27928.4,64064.3,378.67,1986.59,0.0356,0.147,0.014,0.103
,1933,27863.2,1083450000,0.904,27863.2,64032.9,360.63,1893.46,0.034,0.141,0.013,0.099
,1934,27821.5,1080820000,0.901,27821.5,64010.3,455.48,2393.32,0.0432,0.175,0.016,0.122
,1935,27706.5,1074730000,0.896,27706.5,63962.7,430.16,2262.28,0.041,0.167,0.016,0.117
,1936,27625.3,1070310000,0.893,27625.3,63926.1,352.24,1853.52,0.0336,0.14,0.013,0.098
,1937,27617.8,1069610000,0.892,27617.8,63914.9,314.18,1653.54,0.03,0.126,0.011,0.088
,1938,27642.7,1070700000,0.893,27642.7,63915.6,380.8,2004.37,0.0364,0.15,0.014,0.105
,1939,27609.4,1069050000,0.892,27609.4,63896.1,476.13,2507.22,0.0456,0.184,0.017,0.129
,1940,27500.1,1063610000,0.887,27500.1,63848.8,443,2334.21,0.0426,0.173,0.016,0.121
,1941,27429.8,1059950000,0.884,27429.8,63813,299.35,1577.61,0.0288,0.121,0.011,0.085
,1942,27486.1,1062570000,0.886,27486.1,63821.1,275.1,1449.4,0.0264,0.112,0.01,0.078
,1943,27556.3,1066100000,0.889,27556.3,63834.7,715.13,3769.93,0.069,0.262,0.026,0.183
,1944,27253.7,1051230000,0.877,27253.7,63715.1,381.64,2013.93,0.0371,0.153,0.014,0.107
,1945,27259.5,1051140000,0.877,27259.5,63700.6,349.21,1843.03,0.0339,0.141,0.013,0.099
,1946,27292,1052540000,0.878,27292,63695.8,432.28,2281.69,0.042,0.171,0.016,0.12
,1947,27251.9,1050530000,0.876,27251.9,63665.1,619.77,3273.68,0.0606,0.235,0.023,0.164
,1948,27060.2,1040970000,0.868,27060.2,63577.9,857.29,4536.45,0.0851,0.31,0.032,0.217
,1949,26692.3,1022330000,0.853,26692.3,63420,967.46,5133.99,0.098,0.346,0.036,0.242
,1950,26273.5,1000600000,0.835,26273.5,63232.5,922.76,4912.42,0.0955,0.339,0.035,0.237
,1951,25938.4,982615000,0.82,25938.4,63068.3,973.31,5198.27,0.1027,0.359,0.038,0.251
,1952,25599.7,964375000,0.804,25599.7,62896.6,1131.26,6064.18,0.122,0.408,0.044,0.286
,1953,25168.1,941552000,0.785,25168.1,62678.9,1429.31,7699.35,0.159,0.492,0.057,0.344
,1954,24537.2,908739000,0.758,24537.2,62359.8,1508,8172.71,0.1743,0.522,0.061,0.366
,1955,23908.7,875636000,0.73,23908.7,62018.6,1979.53,10812.4,0.2403,0.637,0.083,0.446
,1956,22958.1,826488000,0.689,22958.1,61483,1930.42,10646.2,0.2482,0.649,0.084,0.454
,1957,22146.5,783582000,0.654,22146.5,60969,1875.82,10443.6,0.254,0.657,0.085,0.46
,1958,21462.8,746981000,0.623,21462.8,60490.9,2179.07,12256.3,0.3121,0.734,0.102,0.514
,1959,20596.4,702063000,0.586,20596.4,59856.4,1877.25,10666.7,0.2833,0.698,0.091,0.489
,1960,20059,673166000,0.561,20059,59407.1,1740.13,9964.1,0.2722,0.683,0.087,0.478
,1961,19680.5,652764000,0.544,19680.5,59068,1822.66,10504.2,0.2941,0.712,0.093,0.498
,1962,19261.9,631482000,0.527,19261.9,58700.6,2212.14,12847.4,0.3731,0.801,0.115,0.561
,1963,18552.3,597089000,0.498,18552.3,58076.4,2475.26,14531.6,0.4454,0.867,0.133,0.607
,1964,17680,554920000,0.463,17680,57235.9,1909.72,11324.5,0.3621,0.79,0.108,0.553
,1965,17337.8,536966000,0.448,17337.8,56851.6,1735.67,10350.1,0.3369,0.763,0.1,0.534
,1966,17158,527552000,0.44,17158,56651.6,2302.01,13816.1,0.4635,0.882,0.134,0.617
,1967,16516.9,498240000,0.416,16516.9,55973.4,2321.51,14070.5,0.4952,0.905,0.141,0.634
,1968,15898.8,469648000,0.392,15898.8,55257.9,2102.84,12861.7,0.4711,0.887,0.132,0.621
,1969,15496.2,450589000,0.376,15496.2,54753.7,2430.25,15007.4,0.5744,0.958,0.157,0.67
,1970,14844.2,420998000,0.351,14844.2,53856.6,1961,12220.7,0.4852,0.898,0.132,0.629
,1971,14610,409812000,0.342,14610,53433,1619.1,10118.6,0.4041,0.831,0.111,0.582
,1972,14656.9,411982000,0.344,14656.9,53309,1978.7,12379.9,0.4981,0.907,0.135,0.635
,1973,14388.7,401782000,0.335,14388.7,52541.3,1917.14,12028.1,0.4931,0.904,0.133,0.633
,1974,14169.7,393692000,0.328,14169.7,51588.4,1910.23,12011.6,0.5011,0.91,0.135,0.637
,1975,13948.6,385661000,0.322,13948.6,50529.2,1855.02,11685.6,0.4953,0.906,0.133,0.634
,1976,13760.1,379399000,0.316,13760.1,49645.7,2140.8,13529.2,0.5893,0.967,0.156,0.677
,1977,13317.9,362791000,0.303,13317.9,48180.5,1756.01,11131.3,0.4964,0.906,0.132,0.634
,1978,13181.8,359229000,0.3,13181.8,45504.9,2111.29,13411.6,0.6135,0.98,0.16,0.686
,1979,12713.7,342749000,0.286,12713.7,44637.8,2665.6,17086,0.8378,1.08,0.21,0.756
,1980,11762.5,306329000,0.255,11762.5,46792.2,2093.67,13570.9,0.7147,1.031,0.178,0.721
,1981,11299,288822000,0.241,11299,52089.9,2032.51,13275.1,0.7314,1.038,0.18,0.727
,1982,10932.5,272948000,0.228,10932.5,37041.4,2277.95,15087,0.8781,1.094,0.208,0.766
,1983,10376.7,249056000,0.208,10376.7,28758.8,1893.56,12689.2,0.7769,1.057,0.182,0.74
,1984,10029.3,239326000,0.2,10029.3,48260.5,1647.49,11006.9,0.6908,1.02,0.164,0.714
,1985,9813.99,238620000,0.199,9813.99,33666.1,1831.93,12203.3,0.7842,1.06,0.187,0.742
,1986,9432.1,229069000,0.191,9432.1,22905.4,1545.54,10247.5,0.6754,1.012,0.164,0.709
,1987,9160.76,224962000,0.188,9160.76,37734.3,1525.49,9991.71,0.6744,1.012,0.167,0.708
,1988,8809.37,220260000,0.184,8809.37,37427.8,1598.48,10396,0.7287,1.037,0.181,0.726
,1989,8417.46,210435000,0.176,8417.46,65678.6,1435.64,9338.09,0.6809,1.015,0.171,0.71
,1990,8345.03,202121000,0.169,8345.03,60067,1092.82,7238.68,0.5235,0.925,0.131,0.648
,1991,8882.79,204981000,0.171,8882.79,48913,1446.41,9898.18,0.6988,1.023,0.163,0.716
,1992,9317.58,202771000,0.169,9317.58,48815.1,1073.47,7564.23,0.5104,0.916,0.115,0.641
,1993,10121.6,223726000,0.187,10121.6,49749.2,957.02,6768.11,0.4175,0.843,0.095,0.59
,1994,11000.8,257639000,0.215,11000.8,64854.8,1017.39,7081.66,0.3963,0.824,0.092,0.577
,1995,11839.5,292196000,0.244,11839.5,93877.6,1113.33,7603.94,0.3884,0.816,0.094,0.571
,1996,12822,321761000,0.268,12822,72606.6,1008.91,6841.77,0.3166,0.74,0.079,0.518
,1997,14160.5,354536000,0.296,14160.5,61412.6,958.89,6467.54,0.27,0.68,0.068,0.476
,1998,15564.2,395910000,0.33,15564.2,31255.7,746.96,4975.7,0.1866,0.546,0.048,0.382
,1999,16873.1,455959000,0.38,16873.1,39885.7,687.16,4443,0.151,0.474,0.041,0.332
,2000,17756.1,523109000,0.436,17756.1,53852.8,630.55,3920.78,0.1226,0.41,0.036,0.287
,2001,18339.4,584204000,0.487,18339.4,44062.3,645.93,3866.75,0.1134,0.387,0.035,0.271
,2002,18664.7,626342000,0.522,18664.7,48101.8,774.28,4485.55,0.1268,0.42,0.041,0.294
,2003,18689.5,645893000,0.539,18689.5,35215.8,815.55,4611.73,0.1284,0.424,0.044,0.296
,2004,18528.4,652734000,0.544,18528.4,40145.9,689.72,3826.67,0.1064,0.369,0.037,0.258
,2005,18316.1,657928000,0.549,18316.1,22505,745.75,4079.06,0.1142,0.389,0.041,0.272
,2006,17880.9,655637000,0.547,17880.9,31130.6,705.82,3806.6,0.1085,0.374,0.039,0.262
,2007,17287.9,649111000,0.541,17287.9,53335.1,712.35,3792.06,0.1109,0.38,0.041,0.266
,2008,16712.8,635432000,0.53,16712.8,62848,679.09,3592.58,0.108,0.373,0.041,0.261
,2009,16420.8,615916000,0.514,16420.8,95740.7,693.4,3685.14,0.1135,0.387,0.042,0.271
,2010,16610.8,594212000,0.496,16610.8,94766.1,575.63,3129.17,0.0967,0.343,0.035,0.24
,2011,17545,585812000,0.489,17545,53137.5,484.16,2725.94,0.082,0.301,0.028,0.211
,2012,18867.3,599779000,0.5,18867.3,54429.4,506.8,2936.3,0.0844,0.308,0.027,0.216
,2013,20087.4,637389000,0.532,20087.4,100549,622.67,3659.26,0.0998,0.351,0.031,0.246
,2014,21231.4,687398000,0.573,21231.4,42805.7,530.65,3138.95,0.0802,0.296,0.025,0.207
,2015,22404.6,742168000,0.619,22404.6,59163.6,720.39,4227.64,0.1021,0.357,0.032,0.25
,2016,23080.3,784762000,0.655,23080.3,67444,809.01,4683.92,0.1085,0.374,0.035,0.262
,2017,23504.4,819702000,0.684,23504.4,41706.7,773.47,4413.48,0.0991,0.349,0.033,0.244
,2018,23729.1,846910000,0.706,23729.1,64497.9,638,3577.89,0.0785,0.291,0.027,0.203
,2019,23844,869377000,0.725,23844,53606.6,509.48,2814.31,0.0606,0.234,0.021,0.164
,2020,23971.4,887880000,0.741,23971.4,59397,419.33,2285.6,0.0485,0.194,0.017,0.136
,2021,24075.7,901312000,0.752,24075.7,63114.4,411.83,2222.55,0.0467,0.187,0.017,0.131
,2022,24176,909283000,0.758,24176,62659.5,445.15,2388.19,0.0498,0.198,0.018,0.139
,2023,24276.8,912715000,0.761,24276.8,62691.8,NA,NA,NA,NA,NA,NA
